Kolczyk; data urodzenia; p³eæ; waga; nr kojca; id rasy
PL-0012-1481; 2010-07-04; nie; 79; 9; 10
PL-0012-1482; 2010-07-24; nie; 118; 21; 11
PL-0012-1483; 2010-06-04; nie; 97; 11; 3
PL-0012-1484; 2010-07-28; tak; 72; 4; 6
PL-0012-1485; 2010-08-06; tak; 93; 3; 20
PL-0012-1486; 2010-08-27; tak; 90; 14; 12
PL-0012-1487; 2010-08-18; nie; 81; 22; 6
PL-0012-1488; 2010-06-12; tak; 87; 9; 16
PL-0012-1489; 2010-07-08; tak; 61; 1; 22
PL-0012-1490; 2010-08-03; nie; 100; 19; 13
PL-0012-1491; 2010-08-21; tak; 93; 11; 9
PL-0012-1492; 2010-08-11; tak; 60; 10; 21
PL-0012-1493; 2010-07-01; tak; 80; 2; 11
PL-0012-1494; 2010-07-09; nie; 101; 7; 20
PL-0012-1495; 2010-08-02; tak; 87; 16; 19
PL-0012-1496; 2010-08-14; tak; 116; 8; 12
PL-0012-1497; 2010-06-06; nie; 90; 8; 17
PL-0012-1498; 2010-08-01; nie; 107; 21; 8
PL-0012-1499; 2010-08-06; nie; 86; 6; 3
PL-0012-1500; 2010-07-31; tak; 78; 10; 13
